name,url,duration,test_type,remote_support,adaptive_support,combined_text
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,0,[],No,No,Professional + 7.1 (International) []
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,0,[],No,No,Professional 7.0 Solution []
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,0,[],No,No,Professional 7.1 (International) []
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,0,[],No,No,Professional 8.0 JFA []
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,0,[],No,No,Professional/Individual Contributor - Short Form []
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,0,[],No,No,Project Manager - Short Form []
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,0,[],No,No,Proof Operator - Processing Specialist -Short Form []
Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,0,[],No,No,Reservation Agent Solution []
Restaurant Manager Solution,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,0,[],No,No,Restaurant Manager Solution []
Restaurant Supervisor Solution,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,0,[],No,No,Restaurant Supervisor Solution []
Retail Consultant Solution,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,0,[],No,No,Retail Consultant Solution []
Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,0,[],No,No,Retail Manager w/ Sales Solution []
Retail Sales Associate Solution,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,0,[],No,No,Retail Sales Associate Solution []
Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,0,[],No,No,Sales Director Solution []
Sales Engineer Solution,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,0,[],No,No,Sales Engineer Solution []
Sales Manager Solution,https://www.shl.com/products/product-catalog/view/sales-manager-solution/,0,[],No,No,Sales Manager Solution []
Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,0,[],No,No,Sales Professional 7.0 Solution []
Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,0,[],No,No,Sales Professional 7.1 (Americas) []
Sales Professional Solution,https://www.shl.com/products/product-catalog/view/sales-professional-solution/,0,[],No,No,Sales Professional Solution []
Sales Representative Solution,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,0,[],No,No,Sales Representative Solution []
Sales Supervisor Solution,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,0,[],No,No,Sales Supervisor Solution []
Sales Support Specialist Solution,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,0,[],No,No,Sales Support Specialist Solution []
Senior Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,0,[],No,No,Senior Insurance Agent Solution []
Senior Sales Professional Solution,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,0,[],No,No,Senior Sales Professional Solution []
Server Solution,https://www.shl.com/products/product-catalog/view/server-solution/,0,[],No,No,Server Solution []
Service Associate Solution,https://www.shl.com/products/product-catalog/view/service-associate-solution/,0,[],No,No,Service Associate Solution []
Service Supervisor Solution,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,0,[],No,No,Service Supervisor Solution []
Stock Clerk Solution,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,0,[],No,No,Stock Clerk Solution []
Store Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,0,[],No,No,Store Manager 7.0 Solution []
Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,0,[],No,No,Store Manager 7.1 (Americas) []
